Rapport_Collecte,Rapport_clean,Contamination,Etat_materiau
"Verre recyclable en provenance de l'Usine A. Poids 158.0 kg, volume 302.0 L. Rigidité extrêmement rigide, faible conductivité. Surface lisse.",verre recyclable poids 158 0kg volume 302 rigidité extrêmement rigide faible conductivité surface lisse,0,Inconnu
"Lot de papier récupéré en provenance de l'Usine A. Poids léger de 9.8 kg, volume petit. Matériau souple, non conducteur, aspect indéterminée. Bon état général.",papier récupéré poids léger 9 8kg volume petit souple non conducteur aspect indéterminée bon état général,0,Inconnu
"Déchet métallique détecté au Centre de Tri. Poids 39.5 kg, volume 74.5 L. Conductivité élevée (0.874), rigidité importante. Lot conforme aux standards de tri.",métallique détecté centre tri poids 39 5kg volume 74 conductivité élevée 0 874 rigidité importante conforme standard tri,0,Inconnu
"Emballages plastiques récupérés au centre de tri municipal. Masse 16.8 kg, volume 32.2 L. semi-rigide, non conducteur.",emballages plastique récupérés centre tri municipal masse 16 8kg volume 32 semi rigide non conducteur,0,Inconnu
"Déchets en verre identifiés lors d'une collecte citoyenne. Poids 179.1 kg, volume 354.7 L. Non conducteur, très rigide. Nécessite manipulation avec précaution.",déchets verre identifiés lors citoyenne poids 179 1kg volume 354 non conducteur très rigide nécessite manipulation précaution,0,Inconnu
"Déchets plastiques divers au centre de tri municipal. Poids estimé 33.9 kg. Opacité semi-opaque, souplesse variable. Aucune anomalie signalée.",déchets plastique diver centre tri municipal poids 33 9kg opacité semi opaque souplesse variable aucune anomalie signalée,0,Inconnu
"Déchet métallique détecté en provenance de l'Usine A. Poids 37.0 kg, volume 94.7 L. Conductivité élevée (0.967), rigidité importante. Volume surestimé, vérification recommandée.",métallique détecté poids 37 0kg volume 94 conductivité élevée 0 967 rigidité importante volume surestimé vérification recommandée,0,Inconnu
"Ferraille ou métal collecté à l'Usine B. Masse 59.8 kg. Haute conductivité électrique, matériau extrêmement rigide. Prix revente estimé.",ferraille métal masse 59 8kg haute conductivité électrique extrêmement rigide prix revente,0,Inconnu
"Ferraille ou métal collecté à l'Usine B. Masse 59.8 kg. Haute conductivité électrique, matériau rigide. Prix revente estimé.",ferraille métal masse 59 8kg haute conductivité électrique rigide prix revente,0,Inconnu
"Feuilles et cartons collectés issu de la collecte citoyenne. Masse totale 9.0 kg. Matériau léger, souple et opaque. Légère contamination observée.",feuilles carton citoyenne masse totale 9 0kg léger souple opaque légère contamination observée,1,Inconnu
"Feuilles et cartons collectés sans localisation enregistrée. Masse totale 3.5 kg. Matériau léger, souple et opaque. Odeur inhabituelle signalée par l'agent.",feuilles carton sans localisation enregistrée masse totale 3 5kg léger souple opaque odeur inhabituelle signalée agent,0,Inconnu
Déchet inclassifiable détecté lors d'une collecte citoyenne. Masse estimée 44.7 kg. Agent de tri recommande contrôle visuel supplémentaire. Aucune anomalie signalée.,inclassifiable détecté lors citoyenne masse 44 7kg agent tri recommande contrôle visuel supplémentaire aucune anomalie signalée,0,Inconnu
"Déchets plastiques divers à l'Usine B. Poids estimé 32.9 kg. Opacité semi-opaque, souplesse variable. Odeur inhabituelle signalée par l'agent.",déchets plastique diver poids 32 9kg opacité semi opaque souplesse variable odeur inhabituelle signalée agent,0,Inconnu
Lot de verre trié à l'Usine B. Masse 132.0 kg. Matériau lourd et de rigidité non mesurée. Aspect légèrement translucide. Conditionnement non conforme au protocole.,verre trié masse 132 0kg lourd rigidité non mesurée aspect légèrement translucide conditionnement non conforme protocole,0,Moyen
"Déchet en verre collecté au centre de tri municipal. Poids lourd : 204.3 kg, volume 394.3 L. Très rigide, non conducteur, aspect légèrement translucide.",verre centre tri municipal poids lourd 204 3kg volume 394 très rigide non conducteur aspect légèrement translucide,0,Moyen
"Déchets plastiques divers provenant de l'Usine A. Poids estimé 37.4 kg. Opacité semi-opaque, souplesse variable. Légère contamination observée.",déchets plastique diver provenant poids 37 4kg opacité semi opaque souplesse variable légère contamination observée,1,Inconnu
"Lot de papier récupéré au Centre de Tri. Poids léger de 14.4 kg, volume petit. Matériau souple, non conducteur, aspect très opaque. Bon état général.",papier récupéré centre tri poids léger 14 4kg volume petit souple non conducteur aspect très opaque bon état général,0,Inconnu
"Ferraille ou métal collecté depuis l'Usine B. Masse 66.9 kg. Haute conductivité électrique, matériau rigide. Prix revente estimé.",ferraille métal depuis masse 66 9kg haute conductivité électrique rigide prix revente,0,Inconnu
"Plastique de tri sélectif provenant de l'Usine A. Masse 37.9 kg. Matériau rigide, faible conductivité. Légère contamination observée.",plastique tri sélectif provenant masse 37 9kg rigide faible conductivité légère contamination observée,1,Inconnu
"Bris de verre ou contenants issu de la collecte citoyenne. Masse 155.9 kg. Matériau dense, rigidité élevée, transparence partielle. Conditionnement non conforme au protocole.",bris verre contenants citoyenne masse 155 9kg dense rigidité élevée transparence partielle conditionnement non conforme protocole,0,Moyen
"Collecte de déchets papier à l'Usine B. Masse 11.9 kg. Matériau souple, sans conductivité électrique. Surface très opaque.",déchets papier masse 11 9kg souple sans conductivité électrique surface très opaque,0,Inconnu
"Lot plastique via la collecte citoyenne. Volume non mesuré L, poids 32.8 kg. Aspect semi-opaque, rigidité moyenne. Aucune trace de métal.",plastique via citoyenne volume non mesuré poids 32 8kg aspect semi opaque rigidité moyenne aucune trace métal,1,Moyen
"Déchet plastique collecté provenant de l'Usine A. Poids 36.1 kg, volume 98.4 L. Rigidité semi-rigide, non conducteur. Surface légèrement translucide.",plastique provenant poids 36 1kg volume 98 rigidité semi rigide non conducteur surface légèrement translucide,0,Moyen
"Lot de papier récupéré issu de la collecte citoyenne. Poids léger de 13.9 kg, volume petit. Matériau souple, non conducteur, aspect très opaque. Bon état général.",papier récupéré citoyenne poids léger 13 9kg volume petit souple non conducteur aspect très opaque bon état général,0,Inconnu
"Déchets plastiques divers depuis l'Usine B. Poids estimé 24.2 kg. Opacité indéterminée, souplesse variable. État dégradé, recyclage partiel possible.",déchets plastique diver depuis poids 24 2kg opacité indéterminée souplesse variable état dégradé recyclage partiel possible,0,Inconnu
"Déchet de type papier identifié au Centre de Tri. Volume estimé 7.9 L, poids 14.6 kg. Texture souple, très opaque.",papier identifié centre tri volume 7 poids 14 6kg texture souple très opaque,0,Inconnu
"Ferraille ou métal collecté via la collecte citoyenne. Masse 81.8 kg. Haute conductivité électrique, matériau extrêmement rigide. Prix revente estimé.",ferraille métal via citoyenne masse 81 8kg haute conductivité électrique extrêmement rigide prix revente,0,Inconnu
"Feuilles et cartons collectés à l'Usine B. Masse totale 9.6 kg. Matériau léger, souple et opaque. Poids anormalement élevé pour cette catégorie.",feuilles carton masse totale 9 6kg léger souple opaque poids anormalement élevé cette catégorie,0,Inconnu
"Feuilles et cartons collectés en provenance de l'Usine B. Masse totale non mesuré kg. Matériau léger, souple et opaque. Conditionnement non conforme au protocole.",feuilles carton masse totale non mesuré léger souple opaque conditionnement non conforme protocole,0,Inconnu
"Lot de papier récupéré provenant de l'Usine A. Poids léger de 13.8 kg, volume petit. Matériau souple, non conducteur, aspect très opaque. Bon état général.",papier récupéré provenant poids léger 13 8kg volume petit souple non conducteur aspect très opaque bon état général,0,Inconnu
"Lot plastique depuis l'Usine B. Volume 79.1 L, poids non mesuré kg. Aspect semi-opaque, rigidité moyenne. Aucune trace de métal.",plastique depuis volume 79 poids non mesuré aspect semi opaque rigidité moyenne aucune trace métal,1,Moyen
"Déchets plastiques divers au Centre de Tri. Poids estimé 32.1 kg. Opacité légèrement translucide, souplesse variable. Poids anormalement élevé pour cette catégorie.",déchets plastique diver centre tri poids 32 1kg opacité légèrement translucide souplesse variable poids anormalement élevé cette catégorie,0,Moyen
"Lot de papier récupéré depuis le Centre de Tri. Poids léger de 8.3 kg, volume petit. Matériau souple, non conducteur, aspect très opaque. Bon état général.",papier récupéré depuis centre tri poids léger 8 3kg volume petit souple non conducteur aspect très opaque bon état général,0,Inconnu
"Plastique de tri sélectif via la collecte citoyenne. Masse 28.3 kg. Matériau semi-rigide, faible conductivité. État dégradé, recyclage partiel possible.",plastique tri sélectif via citoyenne masse 28 3kg semi rigide faible conductivité état dégradé recyclage partiel possible,0,Inconnu
"Déchets en verre identifiés lors d'une collecte citoyenne. Poids 141.2 kg, volume non mesuré L. Non conducteur, très rigide. Nécessite manipulation avec précaution.",déchets verre identifiés lors citoyenne poids 141 2kg volume non mesuré non conducteur très rigide nécessite manipulation précaution,0,Inconnu
"Déchet en verre collecté via la collecte citoyenne. Poids lourd : non mesuré kg, volume 328.5 L. Très rigide, non conducteur, aspect légèrement translucide.",verre via citoyenne poids lourd non mesuré volume 328 très rigide non conducteur aspect légèrement translucide,0,Moyen
"Plastique de tri sélectif issu de la collecte citoyenne. Masse 29.1 kg. Matériau rigide, faible conductivité. Lot conforme aux standards de tri.",plastique tri sélectif citoyenne masse 29 1kg rigide faible conductivité conforme standard tri,0,Inconnu
"Déchets plastiques divers depuis le Centre de Tri. Poids estimé 29.9 kg. Opacité légèrement translucide, souplesse variable. Légère contamination observée.",déchets plastique diver depuis centre tri poids 29 9kg opacité légèrement translucide souplesse variable légère contamination observée,1,Moyen
"Feuilles et cartons collectés à l'Usine A. Masse totale 22.4 kg. Matériau léger, souple et opaque. Traces d'humidité détectées.",feuilles carton masse totale 22 4kg léger souple opaque trace humidité détectées,1,Inconnu
"Lot métallique lors d'une collecte citoyenne. Poids 31.5 kg, volume 64.6 L. Conducteur, très rigide. Aspect très opaque. Traces d'humidité détectées.",métallique lors citoyenne poids 31 5kg volume 64 conducteur très rigide aspect très opaque trace humidité détectées,1,Inconnu
"Plastique de tri sélectif en provenance de l'Usine A. Masse 31.6 kg. Matériau semi-rigide, faible conductivité. Conditionnement non conforme au protocole.",plastique tri sélectif masse 31 6kg semi rigide faible conductivité conditionnement non conforme protocole,0,Inconnu
"Déchets en verre identifiés depuis l'Usine B. Poids 175.8 kg, volume 327.2 L. Non conducteur, très rigide. Nécessite manipulation avec précaution.",déchets verre identifiés depuis poids 175 8kg volume 327 non conducteur très rigide nécessite manipulation précaution,0,Inconnu
"Lot de papier récupéré depuis l'Usine B. Poids léger de 17.7 kg, volume petit. Matériau souple, non conducteur, aspect très opaque. Bon état général.",papier récupéré depuis poids léger 17 7kg volume petit souple non conducteur aspect très opaque bon état général,0,Inconnu
"Matériau inconnu lors d'une collecte citoyenne. Poids 42.9 kg, volume 77.3 L. Propriétés mixtes. Orientation vers tri manuel.",inconnu lors citoyenne poids 42 9kg volume 77 propriétés mixtes orientation vers tri manuel,0,Inconnu
"Déchet en verre collecté à l'Usine B. Poids lourd : 202.8 kg, volume 417.2 L. Très rigide, non conducteur, aspect légèrement translucide.",verre poids lourd 202 8kg volume 417 très rigide non conducteur aspect légèrement translucide,0,Moyen
"Verre recyclable en provenance de l'Usine A. Poids 215.9 kg, volume 419.6 L. Rigidité extrêmement rigide, faible conductivité. Surface lisse.",verre recyclable poids 215 9kg volume 419 rigidité extrêmement rigide faible conductivité surface lisse,0,Inconnu
"Métal de récupération provenant de l'Usine A. Masse non mesuré kg. Forte conductivité (0.967), rigidité élevée. Bonne valeur marchande.",métal récupération provenant masse non mesuré forte conductivité 0 967 rigidité élevée bonne valeur marchande,0,Inconnu
"Collecte de déchets papier en provenance de l'Usine B. Masse 7.8 kg. Matériau semi-rigide, sans conductivité électrique. Surface très opaque.",déchets papier masse 7 8kg semi rigide sans conductivité électrique surface très opaque,0,Inconnu
"Papier usagé via la collecte citoyenne. Poids relevé : 14.5 kg. Faible rigidité, non conducteur. Traces d'humidité détectées.",papier usagé via citoyenne poids relevé 14 5kg faible rigidité non conducteur trace humidité détectées,1,Inconnu
Déchets métalliques triés en provenance de l'Usine A. Poids 85.9 kg. Conductivité mesurée : 0.977. Matériau dense et résistant. Légère contamination observée.,déchets métalliques triés poids 85 9kg conductivité mesurée 0 977 dense résistant légère contamination observée,1,Inconnu
"Lot métallique à l'Usine A. Poids 65.9 kg, volume 114.3 L. Conducteur, très rigide. Aspect très opaque. Conditionnement non conforme au protocole.",métallique poids 65 9kg volume 114 conducteur très rigide aspect très opaque conditionnement non conforme protocole,0,Inconnu
"Lot de papier récupéré au Centre de Tri. Poids léger de 20.8 kg, volume petit. Matériau souple, non conducteur, aspect très opaque. Bon état général.",papier récupéré centre tri poids léger 20 8kg volume petit souple non conducteur aspect très opaque bon état général,0,Inconnu
"Feuilles et cartons collectés issu de la collecte citoyenne. Masse totale 12.2 kg. Matériau léger, souple et opaque. Conditionnement non conforme au protocole.",feuilles carton citoyenne masse totale 12 2kg léger souple opaque conditionnement non conforme protocole,0,Inconnu
"Plastique de tri sélectif au centre de tri municipal. Masse 24.6 kg. Matériau semi-rigide, faible conductivité. Volume surestimé, vérification recommandée.",plastique tri sélectif centre tri municipal masse 24 6kg semi rigide faible conductivité volume surestimé vérification recommandée,0,Inconnu
"Lot plastique en provenance de l'Usine B. Volume 103.5 L, poids 55.1 kg. Aspect semi-opaque, rigidité moyenne. Aucune trace de métal.",plastique volume 103 poids 55 1kg aspect semi opaque rigidité moyenne aucune trace métal,1,Moyen
"Lot métallique en provenance de l'Usine B. Poids non mesuré kg, volume 95.4 L. Conducteur, très rigide. Aspect très opaque. Poids anormalement élevé pour cette catégorie.",métallique poids non mesuré volume 95 conducteur très rigide aspect très opaque poids anormalement élevé cette catégorie,0,Inconnu
"Lot plastique au Centre de Tri. Volume 61.2 L, poids 35.5 kg. Aspect semi-opaque, rigidité moyenne. Aucune trace de métal.",plastique centre tri volume 61 poids 35 5kg aspect semi opaque rigidité moyenne aucune trace métal,1,Moyen
"Verre recyclable issu de la collecte citoyenne. Poids 167.0 kg, volume 316.4 L. Rigidité extrêmement rigide, faible conductivité. Surface lisse.",verre recyclable citoyenne poids 167 0kg volume 316 rigidité extrêmement rigide faible conductivité surface lisse,0,Inconnu
"Déchets plastiques divers en provenance de l'Usine A. Poids estimé 24.2 kg. Opacité semi-opaque, souplesse variable. Odeur inhabituelle signalée par l'agent.",déchets plastique diver poids 24 2kg opacité semi opaque souplesse variable odeur inhabituelle signalée agent,0,Inconnu
"Déchet plastique collecté en provenance de l'Usine B. Poids 19.8 kg, volume 76.6 L. Rigidité rigide, non conducteur. Surface semi-opaque.",plastique poids 19 8kg volume 76 rigidité rigide non conducteur surface semi opaque,0,Inconnu
"Déchet en verre collecté lors d'une collecte citoyenne. Poids lourd : 173.2 kg, volume 327.2 L. Très rigide, non conducteur, aspect légèrement translucide.",verre lors citoyenne poids lourd 173 2kg volume 327 très rigide non conducteur aspect légèrement translucide,0,Moyen
"Déchet métallique détecté via la collecte citoyenne. Poids 64.6 kg, volume 101.6 L. Conductivité élevée (0.996), rigidité importante. Étiquetage absent sur le conteneur.",métallique détecté via citoyenne poids 64 6kg volume 101 conductivité élevée 0 996 rigidité importante étiquetage absent conteneur,0,Inconnu
"Bris de verre ou contenants depuis l'Usine B. Masse 164.2 kg. Matériau dense, rigidité élevée, transparence partielle. Volume surestimé, vérification recommandée.",bris verre contenants depuis masse 164 2kg dense rigidité élevée transparence partielle volume surestimé vérification recommandée,0,Moyen
"Déchets plastiques divers depuis l'Usine B. Poids estimé 25.9 kg. Opacité légèrement translucide, souplesse variable. Volume surestimé, vérification recommandée.",déchets plastique diver depuis poids 25 9kg opacité légèrement translucide souplesse variable volume surestimé vérification recommandée,0,Moyen
"Déchet métallique détecté lors d'une collecte citoyenne. Poids non mesuré kg, volume 22.6 L. Conductivité élevée (0.987), rigidité importante. Étiquetage absent sur le conteneur.",métallique détecté lors citoyenne poids non mesuré volume 22 conductivité élevée 0 987 rigidité importante étiquetage absent conteneur,0,Inconnu
"Déchet plastique collecté en provenance de l'Usine A. Poids -99.0 kg, volume 94.9 L. Rigidité semi-rigide, non conducteur. Surface légèrement translucide.",plastique poids 99 0kg volume 94 rigidité semi rigide non conducteur surface légèrement translucide,0,Moyen
Lot de verre trié au centre de tri municipal. Masse 166.1 kg. Matériau lourd et extrêmement rigide. Aspect légèrement translucide. Légère contamination observée.,verre trié centre tri municipal masse 166 1kg lourd extrêmement rigide aspect légèrement translucide légère contamination observée,1,Moyen
"Verre recyclable depuis l'Usine B. Poids non mesuré kg, volume 349.9 L. Rigidité extrêmement rigide, faible conductivité. Surface lisse.",verre recyclable depuis poids non mesuré volume 349 rigidité extrêmement rigide faible conductivité surface lisse,0,Inconnu
"Lot plastique depuis le Centre de Tri. Volume 63.9 L, poids 38.9 kg. Aspect semi-opaque, rigidité moyenne. Aucune trace de métal.",plastique depuis centre tri volume 63 poids 38 9kg aspect semi opaque rigidité moyenne aucune trace métal,1,Moyen
"Lot de papier récupéré via la collecte citoyenne. Poids léger de 20.8 kg, volume petit. Matériau souple, non conducteur, aspect très opaque. Bon état général.",papier récupéré via citoyenne poids léger 20 8kg volume petit souple non conducteur aspect très opaque bon état général,0,Inconnu
"Papier usagé au Centre de Tri. Poids relevé : non mesuré kg. Faible rigidité, non conducteur. Poids anormalement élevé pour cette catégorie.",papier usagé centre tri poids relevé non mesuré faible rigidité non conducteur poids anormalement élevé cette catégorie,0,Inconnu
"Déchet en verre collecté à l'Usine A. Poids lourd : 183.0 kg, volume 343.5 L. Très rigide, non conducteur, aspect légèrement translucide.",verre poids lourd 183 0kg volume 343 très rigide non conducteur aspect légèrement translucide,0,Moyen
"Déchet en verre collecté issu de la collecte citoyenne. Poids lourd : 175.5 kg, volume 346.2 L. Très rigide, non conducteur, aspect légèrement translucide.",verre citoyenne poids lourd 175 5kg volume 346 très rigide non conducteur aspect légèrement translucide,0,Moyen
"Papier usagé à l'Usine A. Poids relevé : 15.3 kg. Faible rigidité, non conducteur. Légère contamination observée.",papier usagé poids relevé 15 3kg faible rigidité non conducteur légère contamination observée,1,Inconnu
"Feuilles et cartons collectés lors d'une collecte citoyenne. Masse totale 20.8 kg. Matériau léger, souple et opaque. État dégradé, recyclage partiel possible.",feuilles carton lors citoyenne masse totale 20 8kg léger souple opaque état dégradé recyclage partiel possible,0,Inconnu
"Plastique de tri sélectif à l'Usine A. Masse 37.9 kg. Matériau semi-rigide, faible conductivité. Poids anormalement élevé pour cette catégorie.",plastique tri sélectif masse 37 9kg semi rigide faible conductivité poids anormalement élevé cette catégorie,0,Inconnu
"Lot plastique via la collecte citoyenne. Volume 68.6 L, poids 34.7 kg. Aspect semi-opaque, rigidité moyenne. Aucune trace de métal.",plastique via citoyenne volume 68 poids 34 7kg aspect semi opaque rigidité moyenne aucune trace métal,1,Moyen
"Déchet de type papier identifié en provenance de l'Usine A. Volume estimé 56.5 L, poids 12.0 kg. Texture souple, très opaque.",papier identifié volume 56 poids 12 0kg texture souple très opaque,0,Inconnu
"Emballages plastiques récupérés via la collecte citoyenne. Masse 32.0 kg, volume non mesuré L. semi-rigide, non conducteur.",emballages plastique récupérés via citoyenne masse 32 0kg volume non mesuré semi rigide non conducteur,0,Inconnu
"Plastique de tri sélectif en provenance de l'Usine A. Masse 25.1 kg. Matériau rigide, faible conductivité. Conditionnement non conforme au protocole.",plastique tri sélectif masse 25 1kg rigide faible conductivité conditionnement non conforme protocole,0,Inconnu
"Déchet métallique détecté issu de la collecte citoyenne. Poids 65.7 kg, volume non mesuré L. Conductivité élevée (0.816), rigidité importante. Lot conforme aux standards de tri.",métallique détecté citoyenne poids 65 7kg volume non mesuré conductivité élevée 0 816 rigidité importante conforme standard tri,0,Inconnu
"Emballages plastiques récupérés à l'emplacement non spécifié. Masse 27.6 kg, volume 78.3 L. semi-rigide, non conducteur.",emballages plastique récupérés emplacement non spécifié masse 27 6kg volume 78 semi rigide non conducteur,0,Inconnu
"Déchets en verre identifiés à l'Usine B. Poids 193.1 kg, volume 404.3 L. Non conducteur, très rigide. Nécessite manipulation avec précaution.",déchets verre identifiés poids 193 1kg volume 404 non conducteur très rigide nécessite manipulation précaution,0,Inconnu
"Emballages plastiques récupérés au centre de tri municipal. Masse 36.2 kg, volume 113.5 L. semi-rigide, non conducteur.",emballages plastique récupérés centre tri municipal masse 36 2kg volume 113 semi rigide non conducteur,0,Inconnu
"Emballages plastiques récupérés lors d'une collecte citoyenne. Masse 28.2 kg, volume 83.8 L. rigide, non conducteur.",emballages plastique récupérés lors citoyenne masse 28 2kg volume 83 rigide non conducteur,0,Inconnu
"Lot de papier récupéré en provenance de l'Usine A. Poids léger de 4.3 kg, volume petit. Matériau souple, non conducteur, aspect très opaque. Bon état général.",papier récupéré poids léger 4 3kg volume petit souple non conducteur aspect très opaque bon état général,0,Inconnu
"Déchet en verre collecté à l'Usine B. Poids lourd : 165.5 kg, volume 312.0 L. Très rigide, non conducteur, aspect légèrement translucide.",verre poids lourd 165 5kg volume 312 très rigide non conducteur aspect légèrement translucide,0,Moyen
"Emballages plastiques récupérés via la collecte citoyenne. Masse 20.3 kg, volume 49.7 L. semi-rigide, non conducteur.",emballages plastique récupérés via citoyenne masse 20 3kg volume 49 semi rigide non conducteur,0,Inconnu
"Lot plastique via la collecte citoyenne. Volume 65.7 L, poids 33.2 kg. Aspect semi-opaque, rigidité moyenne. Aucune trace de métal.",plastique via citoyenne volume 65 poids 33 2kg aspect semi opaque rigidité moyenne aucune trace métal,1,Moyen
"Déchet métallique détecté lors d'une collecte citoyenne. Poids 46.7 kg, volume 95.7 L. Conductivité élevée (0.869), rigidité importante. Étiquetage absent sur le conteneur.",métallique détecté lors citoyenne poids 46 7kg volume 95 conductivité élevée 0 869 rigidité importante étiquetage absent conteneur,0,Inconnu
"Emballages plastiques récupérés au centre de tri municipal. Masse 28.2 kg, volume 120.3 L. rigide, non conducteur.",emballages plastique récupérés centre tri municipal masse 28 2kg volume 120 rigide non conducteur,0,Inconnu
"Emballages plastiques récupérés provenant de l'Usine A. Masse 25.7 kg, volume 74.4 L. rigide, non conducteur.",emballages plastique récupérés provenant masse 25 7kg volume 74 rigide non conducteur,0,Inconnu
"Métal de récupération en provenance de l'Usine A. Masse 52.1 kg. Forte conductivité (0.819), rigidité élevée. Bonne valeur marchande.",métal récupération masse 52 1kg forte conductivité 0 819 rigidité élevée bonne valeur marchande,0,Inconnu
"Lot de papier récupéré issu de la collecte citoyenne. Poids léger de 16.8 kg, volume moyen. Matériau souple, non conducteur, aspect très opaque. Bon état général.",papier récupéré citoyenne poids léger 16 8kg volume moyen souple non conducteur aspect très opaque bon état général,0,Moyen
"Déchets plastiques divers issu de la collecte citoyenne. Poids estimé 40.5 kg. Opacité légèrement translucide, souplesse variable. Légère contamination observée.",déchets plastique diver citoyenne poids 40 5kg opacité légèrement translucide souplesse variable légère contamination observée,1,Moyen
Déchet inclassifiable détecté issu de la collecte citoyenne. Masse estimée non mesuré kg. Agent de tri recommande contrôle visuel supplémentaire. Odeur inhabituelle signalée par l'agent.,inclassifiable détecté citoyenne masse non mesuré agent tri recommande contrôle visuel supplémentaire odeur inhabituelle signalée agent,0,Inconnu
"Déchets en verre identifiés à l'Usine B. Poids 191.4 kg, volume 360.4 L. Non conducteur, très rigide. Nécessite manipulation avec précaution.",déchets verre identifiés poids 191 4kg volume 360 non conducteur très rigide nécessite manipulation précaution,0,Inconnu
"Collecte de déchets papier via la collecte citoyenne. Masse 13.3 kg. Matériau souple, sans conductivité électrique. Surface très opaque.",déchets papier via citoyenne masse 13 3kg souple sans conductivité électrique surface très opaque,0,Inconnu
Lot de verre trié sans localisation enregistrée. Masse 203.5 kg. Matériau lourd et extrêmement rigide. Aspect légèrement translucide. Poids anormalement élevé pour cette catégorie.,verre trié sans localisation enregistrée masse 203 5kg lourd extrêmement rigide aspect légèrement translucide poids anormalement élevé cette catégorie,0,Moyen
"Verre recyclable à l'Usine A. Poids 157.9 kg, volume 319.9 L. Rigidité extrêmement rigide, faible conductivité. Surface lisse.",verre recyclable poids 157 9kg volume 319 rigidité extrêmement rigide faible conductivité surface lisse,0,Inconnu
"Ferraille ou métal collecté depuis le Centre de Tri. Masse non mesuré kg. Haute conductivité électrique, matériau extrêmement rigide. Prix revente estimé.",ferraille métal depuis centre tri masse non mesuré haute conductivité électrique extrêmement rigide prix revente,0,Inconnu
"Emballages plastiques récupérés via la collecte citoyenne. Masse 33.7 kg, volume 55.0 L. semi-rigide, non conducteur.",emballages plastique récupérés via citoyenne masse 33 7kg volume 55 semi rigide non conducteur,0,Inconnu
"Ferraille ou métal collecté en provenance de l'Usine B. Masse 65.8 kg. Haute conductivité électrique, matériau extrêmement rigide. Prix revente estimé.",ferraille métal masse 65 8kg haute conductivité électrique extrêmement rigide prix revente,0,Inconnu
"Déchet métallique détecté via la collecte citoyenne. Poids 68.7 kg, volume 143.9 L. Conductivité élevée (0.816), rigidité importante. Matériau mélangé à d'autres déchets.",métallique détecté via citoyenne poids 68 7kg volume 143 conductivité élevée 0 816 rigidité importante mélangé autres déchets,0,Inconnu
"Ferraille ou métal collecté issu de la collecte citoyenne. Masse 67.3 kg. Haute conductivité électrique, matériau extrêmement rigide. Prix revente estimé.",ferraille métal citoyenne masse 67 3kg haute conductivité électrique extrêmement rigide prix revente,0,Inconnu
"Déchet métallique détecté lors d'une collecte citoyenne. Poids non mesuré kg, volume 71.8 L. Conductivité élevée (0.964), rigidité importante. Étiquetage absent sur le conteneur.",métallique détecté lors citoyenne poids non mesuré volume 71 conductivité élevée 0 964 rigidité importante étiquetage absent conteneur,0,Inconnu
"Lot de papier récupéré via la collecte citoyenne. Poids léger de 9.5 kg, volume petit. Matériau souple, non conducteur, aspect très opaque. Bon état général.",papier récupéré via citoyenne poids léger 9 5kg volume petit souple non conducteur aspect très opaque bon état général,0,Inconnu
"Déchets plastiques divers via la collecte citoyenne. Poids estimé 25.0 kg. Opacité légèrement translucide, souplesse variable. Lot conforme aux standards de tri.",déchets plastique diver via citoyenne poids 25 0kg opacité légèrement translucide souplesse variable conforme standard tri,0,Moyen
"Verre recyclable provenant de l'Usine A. Poids 162.0 kg, volume 356.9 L. Rigidité extrêmement rigide, faible conductivité. Surface lisse.",verre recyclable provenant poids 162 0kg volume 356 rigidité extrêmement rigide faible conductivité surface lisse,0,Inconnu
"Déchet en verre collecté depuis le Centre de Tri. Poids lourd : 228.5 kg, volume 450.5 L. Très rigide, non conducteur, aspect légèrement translucide.",verre depuis centre tri poids lourd 228 5kg volume 450 très rigide non conducteur aspect légèrement translucide,0,Moyen
"Lot plastique à l'Usine B. Volume 88.3 L, poids 38.0 kg. Aspect semi-opaque, rigidité moyenne. Aucune trace de métal.",plastique volume 88 poids 38 0kg aspect semi opaque rigidité moyenne aucune trace métal,1,Moyen
"Déchets en verre identifiés via la collecte citoyenne. Poids 1528.9 kg, volume 312.3 L. Non conducteur, très rigide. Nécessite manipulation avec précaution.",déchets verre identifiés via citoyenne poids 1528 9kg volume 312 non conducteur très rigide nécessite manipulation précaution,0,Inconnu
"Emballages plastiques récupérés en provenance de l'Usine B. Masse 20.8 kg, volume 51.6 L. semi-rigide, non conducteur.",emballages plastique récupérés masse 20 8kg volume 51 semi rigide non conducteur,0,Inconnu
"Déchet en verre collecté en provenance de l'Usine A. Poids lourd : 164.7 kg, volume 345.0 L. Très rigide, non conducteur, aspect légèrement translucide.",verre poids lourd 164 7kg volume 345 très rigide non conducteur aspect légèrement translucide,0,Moyen
Déchets métalliques triés au Centre de Tri. Poids 31.0 kg. Conductivité mesurée : 0.843. Matériau dense et résistant. Légère contamination observée.,déchets métalliques triés centre tri poids 31 0kg conductivité mesurée 0 843 dense résistant légère contamination observée,1,Inconnu
"Déchet en verre collecté via la collecte citoyenne. Poids lourd : 164.9 kg, volume 358.7 L. Très rigide, non conducteur, aspect légèrement translucide.",verre via citoyenne poids lourd 164 9kg volume 358 très rigide non conducteur aspect légèrement translucide,0,Moyen
"Lot plastique en provenance de l'Usine A. Volume 87.8 L, poids 37.2 kg. Aspect semi-opaque, rigidité moyenne. Aucune trace de métal.",plastique volume 87 poids 37 2kg aspect semi opaque rigidité moyenne aucune trace métal,1,Moyen
